question,label,seed,language
Will yellow teeth ever become white?,N,Can yellow teeth actually be whitened?,en
Do teeth turn yellow again after whitening?,N,Is there a downside to teeth whitening?,en
Is it worth getting teeth whitened at the dentist?,N,Is tooth whitening painful?,en
Can yellow teeth become white again?,N,What is the best treatment to whiten teeth?,en
What is the best treatment to whiten teeth?,N,teeth whitening,en
Can very yellow teeth become white again?,N,Can yellow teeth actually be whitened?,en
Do dentists recommend teeth whitening?,G,Is there a downside to teeth whitening?,en
How bad does getting your teeth whitened hurt?,N,Is tooth whitening painful?,en
Can 60 year old teeth be whitened?,N,What is the best treatment to whiten teeth?,en
Can yellow teeth actually be whitened?,N,teeth whitening,en
Do dentists judge you for yellow teeth?,N,Can yellow teeth actually be whitened?,en
What is the healthiest way to whiten teeth?,N,Is there a downside to teeth whitening?,en
Is there a downside to teeth whitening?,N,Is tooth whitening painful?,en
How to get insanely white teeth?,N,What is the best treatment to whiten teeth?,en
